BLOCK DAY SHOT codend cover REP WtSch q1 q2 total Lenclass Haul
2 1 3 0 0 1 2.02 0.585 0.34 0 6 1
2 1 3 0 0 1 2.02 0.585 0.34 0 7 1
2 1 3 0 0 1 2.02 0.585 0.34 0 8 1
2 1 3 0 0 1 2.02 0.585 0.34 0 9 1
2 1 3 0 0 1 2.02 0.585 0.34 0 10 1
2 1 3 0 2 1 2.02 0.585 0.34 2 11 1
2 1 3 0 0 1 2.02 0.585 0.34 0 12 1
2 1 3 2 8 1 2.02 0.585 0.34 10 13 1
2 1 3 3 6 1 2.02 0.585 0.34 9 14 1
2 1 3 25 34 1 2.02 0.585 0.34 59 15 1
2 1 3 47 82 1 2.02 0.585 0.34 129 16 1
2 1 3 65 62 1 2.02 0.585 0.34 127 17 1
2 1 3 57 37 1 2.02 0.585 0.34 94 18 1
2 1 3 28 12 1 2.02 0.585 0.34 40 19 1
2 1 3 16 3 1 2.02 0.585 0.34 19 20 1
2 1 3 5 0 1 2.02 0.585 0.34 5 21 1
2 1 3 1 0 1 2.02 0.585 0.34 1 22 1
2 1 3 0 0 1 2.02 0.585 0.34 0 23 1
2 2 3 0 0 1 1.68 0.691 0.605 0 6 2
2 2 3 0 0 1 1.68 0.691 0.605 0 7 2
2 2 3 0 0 1 1.68 0.691 0.605 0 8 2
2 2 3 0 0 1 1.68 0.691 0.605 0 9 2
2 2 3 0 0 1 1.68 0.691 0.605 0 10 2
2 2 3 0 0 1 1.68 0.691 0.605 0 11 2
2 2 3 0 0 1 1.68 0.691 0.605 0 12 2
2 2 3 0 0 1 1.68 0.691 0.605 0 13 2
2 2 3 0 16 1 1.68 0.691 0.605 16 14 2
2 2 3 12 30 1 1.68 0.691 0.605 42 15 2
2 2 3 48 85 1 1.68 0.691 0.605 133 16 2
2 2 3 67 61 1 1.68 0.691 0.605 128 17 2
2 2 3 67 44 1 1.68 0.691 0.605 111 18 2
2 2 3 43 10 1 1.68 0.691 0.605 53 19 2
2 2 3 11 2 1 1.68 0.691 0.605 13 20 2
2 2 3 0 0 1 1.68 0.691 0.605 0 21 2
2 2 3 2 0 1 1.68 0.691 0.605 2 22 2
2 2 3 0 0 1 1.68 0.691 0.605 0 23 2
2 2 6 0 0 2 1.14 1 0.859 0 6 3
